id,uuid,info,type,field_title,content_type,node_id,field_content_link_title,field_summary,image_reference
azr_home_banner,9aadf4a1-ded6-4017-a10d-a5e043396edf,AZR Home Banner,banner_block,СТО «АЗР»,vidraboty,3,View vidraboty,Ремонт легковых и комерческих автомобилей в Харькове,28
azr_vidyrabot_banner,4c7d58a3-a45d-412d-9068-259c57e40541,AZR Vidyrabot Banner,banner_block,Виды работ,vidraboty,2,View vidraboty,These sumptuous brownies should be gooey on the inside and crisp on the outside. A perfect indulgence!,29
azr_mainimage,4605a04d-ce12-4fef-8d3c-fb69e0d73bc9,AZR Vidyrabot Banner,banner_block,Виды работ,vidraboty,2,View vidraboty,Ремонт легковых и комерческих автомобилей в Харькове,29
